,Name,Year,Global_Sales
1,Wii Sports,2006.0,82.74
2,Super Mario Bros.,1985.0,40.24
3,Mario Kart Wii,2008.0,35.82
4,Wii Sports Resort,2009.0,33.0
5,Pokemon Red/Pokemon Blue,1996.0,31.37
6,Tetris,1989.0,30.26
7,New Super Mario Bros.,2006.0,30.01
8,Wii Play,2006.0,29.02
9,New Super Mario Bros. Wii,2009.0,28.62
10,Duck Hunt,1984.0,28.31
11,Nintendogs,2005.0,24.76
12,Mario Kart DS,2005.0,23.42
13,Pokemon Gold/Pokemon Silver,1999.0,23.1
14,Wii Fit,2007.0,22.72
15,Wii Fit Plus,2009.0,22.0
16,Kinect Adventures!,2010.0,21.82
17,Grand Theft Auto V,2013.0,21.4
18,Grand Theft Auto: San Andreas,2004.0,20.81
19,Super Mario World,1990.0,20.61
20,Brain Age: Train Your Brain in Minutes a Day,2005.0,20.22
21,Pokemon Diamond/Pokemon Pearl,2006.0,18.36
22,Super Mario Land,1989.0,18.14
23,Super Mario Bros. 3,1988.0,17.28
24,Grand Theft Auto V,2013.0,16.38
25,Grand Theft Auto: Vice City,2002.0,16.15
26,Pokemon Ruby/Pokemon Sapphire,2002.0,15.85
27,Pokemon Black/Pokemon White,2010.0,15.32
28,Brain Age 2: More Training in Minutes a Day,2005.0,15.3
29,Gran Turismo 3: A-Spec,2001.0,14.98
30,Call of Duty: Modern Warfare 3,2011.0,14.76
31,Pokémon Yellow: Special Pikachu Edition,1998.0,14.64
32,Call of Duty: Black Ops,2010.0,14.64
33,Pokemon X/Pokemon Y,2013.0,14.35
34,Call of Duty: Black Ops 3,2015.0,14.24
35,Call of Duty: Black Ops II,2012.0,14.03
36,Call of Duty: Black Ops II,2012.0,13.73
37,Call of Duty: Modern Warfare 2,2009.0,13.51
38,Call of Duty: Modern Warfare 3,2011.0,13.46
39,Grand Theft Auto III,2001.0,13.1
40,Super Smash Bros. Brawl,2008.0,13.04
41,Call of Duty: Black Ops,2010.0,12.73
42,Animal Crossing: Wild World,2005.0,12.27
43,Mario Kart 7,2011.0,12.21
44,Halo 3,2007.0,12.14
45,Grand Theft Auto V,2014.0,11.98
46,Pokemon HeartGold/Pokemon SoulSilver,2009.0,11.9
47,Super Mario 64,1996.0,11.89
48,Gran Turismo 4,2004.0,11.66
49,Super Mario Galaxy,2007.0,11.52
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014.0,11.33
51,Super Mario Land 2: 6 Golden Coins,1992.0,11.18
52,Grand Theft Auto IV,2008.0,11.02
53,Gran Turismo,1997.0,10.95
54,Super Mario 3D Land,2011.0,10.79
55,Gran Turismo 5,2010.0,10.77
56,Call of Duty: Modern Warfare 2,2009.0,10.69
57,Grand Theft Auto IV,2008.0,10.57
58,Super Mario All-Stars,1993.0,10.55
59,Pokemon FireRed/Pokemon LeafGreen,2004.0,10.49
60,Super Mario 64,2004.0,10.42
61,Just Dance 3,2011.0,10.26
62,Call of Duty: Ghosts,2013.0,10.21
63,Halo: Reach,2010.0,9.88
64,Mario Kart 64,1996.0,9.87
65,New Super Mario Bros. 2,2012.0,9.82
66,Halo 4,2012.0,9.76
67,Final Fantasy VII,1997.0,9.72
68,Call of Duty: Ghosts,2013.0,9.59
69,Just Dance 2,2010.0,9.52
70,Gran Turismo 2,1999.0,9.49
71,Call of Duty 4: Modern Warfare,2007.0,9.32
72,Donkey Kong Country,1994.0,9.3
73,Minecraft,2013.0,9.2
74,Animal Crossing: New Leaf,2012.0,9.09
75,Mario Party DS,2007.0,9.02
76,The Elder Scrolls V: Skyrim,2011.0,8.84
77,Super Mario Kart,1992.0,8.76
78,FIFA 16,2015.0,8.49
79,Wii Party,2010.0,8.49
80,Halo 2,2004.0,8.49
81,Mario Party 8,2007.0,8.42
82,Pokemon Black 2/Pokemon White 2,2012.0,8.33
83,FIFA Soccer 13,2012.0,8.24
84,The Sims 3,2009.0,8.11
85,GoldenEye 007,1997.0,8.09
86,Mario & Sonic at the Olympic Games,2007.0,8.06
87,Final Fantasy X,2001.0,8.05
88,Final Fantasy VIII,1999.0,7.86
89,Pokémon Platinum Version,2008.0,7.84
90,Pac-Man,1982.0,7.81
91,Grand Theft Auto: Liberty City Stories,2005.0,7.72
92,Super Mario Galaxy 2,2010.0,7.69
93,Star Wars Battlefront (2015),2015.0,7.67
94,Call of Duty: Advanced Warfare,2014.0,7.6
95,The Legend of Zelda: Ocarina of Time,1998.0,7.6
96,Crash Bandicoot 2: Cortex Strikes Back,1997.0,7.58
97,Super Mario Bros. 2,1988.0,7.46
98,Super Smash Bros. for Wii U and 3DS,2014.0,7.45
99,Call of Duty: World at War,2008.0,7.37
100,Battlefield 3,2011.0,7.34
101,The Legend of Zelda: Twilight Princess,2006.0,7.31
102,Call of Duty: Black Ops 3,2015.0,7.3
103,Just Dance,2009.0,7.27
104,Battlefield 3,2011.0,7.23
105,Need for Speed Underground,2003.0,7.2
106,Tekken 3,1998.0,7.16
107,Crash Bandicoot 3: Warped,1998.0,7.13
108,Super Smash Bros. Melee,2001.0,7.07
109,Mario Kart 8,2014.0,6.96
110,Fallout 4,2015.0,6.96
111,Mario Kart: Double Dash!!,2003.0,6.95
112,Just Dance 4,2012.0,6.91
113,FIFA 14,2013.0,6.9
114,Need for Speed Underground 2,2004.0,6.9
115,Medal of Honor: Frontline,2002.0,6.83
116,Uncharted 3: Drake's Deception,2011.0,6.83
117,Crash Bandicoot,1996.0,6.82
118,Zumba Fitness,2010.0,6.81
119,Gears of War 2,2008.0,6.76
120,Uncharted 2: Among Thieves,2009.0,6.73
121,Call of Duty 4: Modern Warfare,2007.0,6.72
122,FIFA 12,2011.0,6.69
123,Big Brain Academy,2005.0,6.67
124,Red Dead Redemption,2010.0,6.6
125,FIFA 15,2014.0,6.59
126,Donkey Kong Country Returns,2010.0,6.59
127,The Elder Scrolls V: Skyrim,2011.0,6.56
128,The Legend of Zelda,1986.0,6.51
129,Assassin's Creed III,2012.0,6.5
130,Halo: Combat Evolved,2001.0,6.43
131,Pokémon Emerald Version,2004.0,6.41
132,Kingdom Hearts,2002.0,6.4
133,Pokémon Crystal Version,2000.0,6.39
134,Halo 3: ODST,2009.0,6.36
135,Red Dead Redemption,2010.0,6.34
136,Super Mario Sunshine,2002.0,6.31
137,Street Fighter II: The World Warrior,1992.0,6.3
138,World of Warcraft,2004.0,6.28
139,Driver,1999.0,6.27
140,Kinect Sports,2010.0,6.24
141,Gears of War 3,2011.0,6.24
142,Gears of War,2006.0,6.11
143,Metal Gear Solid 2: Sons of Liberty,2001.0,6.05
144,Sonic the Hedgehog 2,1992.0,6.03
145,Metal Gear Solid 4: Guns of the Patriots,2008.0,6.03
146,Metal Gear Solid,1998.0,6.03
147,The Last of Us,2013.0,5.99
148,Final Fantasy XII,2006.0,5.95
149,LittleBigPlanet,2008.0,5.92
150,Dragon Quest IX: Sentinels of the Starry Skies,2009.0,5.84
151,LEGO Star Wars: The Complete Saga,2007.0,5.83
152,Resident Evil 2,1998.0,5.82
153,Tekken 2,1996.0,5.74
154,Cooking Mama,2006.0,5.72
155,Destiny,2014.0,5.65
156,Tetris,1988.0,5.58
157,Assassin's Creed II,2009.0,5.57
158,Super Smash Bros.,1999.0,5.55
159,Assassin's Creed,2007.0,5.55
160,Batman: Arkham City,2011.0,5.53
161,Forza Motorsport 3,2009.0,5.51
162,Monster Hunter Freedom Unite,2008.0,5.5
163,Super Mario Advance,2001.0,5.49
164,Mario Kart: Super Circuit,2001.0,5.47
165,Super Mario World,2001.0,5.46
166,Pokemon Stadium,1999.0,5.45
167,Call of Duty: World at War,2008.0,5.43
168,Crash Bandicoot: The Wrath of Cortex,2001.0,5.42
169,Minecraft,2014.0,5.42
170,Final Fantasy XIII,2009.0,5.36
171,Dr. Mario,1989.0,5.34
